
特急
関空特急
寝台特急
急行
寝台急行
新快速
新快速2
快速
快速2
普通
普通2
回送
貨物
団体
試運転
ライナー
特別快速
区間快速
臨時
臨時特急
臨時寝台特急
臨時急行
臨時寝台急行
臨時新快速
臨時快速
臨時普通
臨時特別快速
臨時区間快速
丹波路快速
関空快速
紀州路快速
大和路快速


通勤特急
ALL(?)
関空/紀州路快速
みやこ路快速
直通快速
B快速
シャトル
新快◯
A_TO_GENERAL (?)
新快×
GENERAL_TO_A (?)





















































その他
