,,,,,,,,,,,,,,環状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高槻,大阪方面 高槻,住吉,大阪方面 住吉,東西線経由 住吉,比良,,武田尾,宝塚方面 武田尾,東西線経由 武田尾,片町,東西線経由 片町,藤阪,東西線経由 藤阪,天王寺,,志紀,新加美,百舌鳥,,木曽川,米原方面 木曽川,平塚,新疋田,米原方面 新疋田,,若狭有田,南羽咋,,新相ノ木,下麻生,古虎渓,聖高原,穂高,西川原,姫路方面 西川原,滝野,新野,播磨徳久,西片上,姫路方面 西片上,迫川,,方谷,亀岡,綾部,五十猛,谷川,,,,土師,京丹後大宮,あわくら温泉,関,,新田,香久山,吉野口,,下津,和歌山方面 下津,宇多津,オレンジタウン,阿波池田,八幡,津奈木,牛津,南行橋,都城,羽生田,鯉川,蟹田,中条,うらがわら,渡島沼尻,札苅,千歳,北舟岡
島本,大阪方面 島本,六甲道,大阪方面 六甲道,東西線経由 六甲道,近江舞子,,道場,宝塚方面 道場,東西線経由 道場,南森町,東西線経由 南森町,津田,東西線経由 津田,寺田町,,柏原,,上野芝,,尾張一宮,米原方面 尾張一宮,茅ヶ崎,敦賀,米原方面 敦賀,,上中,羽咋,,上市,上麻生,多治見,冠着,有明,岡山,姫路方面 岡山,滝,寺前,佐用,伊部,姫路方面 伊部,常山,,井倉,並河,高津,仁万,柏原,,,,那岐,峰山,山郷,亀山,,城陽,畝傍,北宇智,,初島,和歌山方面 初島,丸亀,造田,三縄,黒崎,新水俣,江北,新田原,西都城,加茂,鹿渡,中小国,平木田,大池いこいの森,渡島砂原,木古内,南千歳,稀府
山崎,大阪方面 山崎,摩耶,大阪方面 摩耶,東西線経由 摩耶,北小松,,三田,宝塚方面 三田,東西線経由 三田,桜橋,東西線経由 桜橋,河内磐船,東西線経由 河内磐船,桃谷,,高井田,北梅田,津久野,,稲沢,米原方面 稲沢,辻堂,南今庄,敦賀方面 南今庄,,新平野,千路,,新宮川,白川口,土岐市,姨捨,安曇追分,北長瀬,岡山方面 北長瀬,西脇市,長谷,上月,香登,姫路方面 香登,八浜,,石蟹,千代川,石原,馬路,石生,,,,美作河井,網野,恋山形,井田川,,長池,金橋,五条,,箕島,和歌山方面 箕島,讃岐塩屋,神前,祖谷口,陣原,水俣,肥前白石,築城,五十市,保内,森岳,大平,坂町,くびき,掛澗,,植苗,黄金
長岡京,大阪方面 長岡京,灘,大阪方面 灘,東西線経由 灘,近江高島,,新三田,宝塚方面 新三田,東西線経由 新三田,福島,東西線経由 福島,星田,東西線経由 星田,鶴橋,,河内堅上,中之島,鳳,,清洲,米原方面 清洲,藤沢,今庄,敦賀方面 今庄,,東小浜,金丸,,中加積,下油井,瑞浪,稲荷山,細野,庭瀬,岡山方面 庭瀬,新西脇,生野,美作土居,長船,姫路方面 長船,備前田井,,新見,八木,福知山,湯里,黒井,,,,知和,夕日ヶ浦木津温泉,,加佐登,,山城青谷,,大和二見,,紀伊宮原,和歌山方面 紀伊宮原,多度津,讃岐津田,阿波川口,折尾,袋,肥前竜王,椎田,財部,東三条,北金岡,津軽二股,平林,,尾白内,,,崎守
向日町,大阪方面 向日町,三ノ宮,大阪方面 三ノ宮,東西線経由 三ノ宮,安曇川,,,,,野田阪神,東西線経由 野田阪神,寝屋川公園,東西線経由 寝屋川公園,玉造,,三郷,西本町,富木,,枇杷島,米原方面 枇杷島,大船,湯尾,敦賀方面 湯尾,,小浜,能登部,,西加積,飛騨金山,釜戸,,北細野,中庄,岡山方面 中庄,比延,新井,美作江見,邑久,姫路方面 邑久,宇野,,布原,吉富,上川口,温泉津,市島,,,,美作加茂,小天橋,,河曲,,山城多賀,,隅田,,藤並,和歌山方面 藤並,海岸寺,鶴羽,小歩危,水巻,米ノ津,肥前鹿島,豊前松江,北俣,三条,東能代,大川平,岩船町,,東森,,,本輪西
桂川,大阪方面 桂川,元町,大阪方面 元町,東西線経由 元町,新旭,,,,,歌島橋,東西線経由 歌島橋,忍ヶ丘,東西線経由 忍ヶ丘,森ノ宮,,王寺,,北信太,,名古屋,米原方面 名古屋,戸塚,南条,敦賀方面 南条,,勢浜,良川,,西滑川,焼石,武並,,信濃松川,倉敷,岡山方面 倉敷,日本へそ公園,青倉,楢原,大富,姫路方面 大富,,,備中神代,園部,下夜久野,石見福光,丹波竹田,,,,三浦,かぶと山,,河原田,,玉水,,下兵庫,,湯浅,和歌山方面 湯浅,津島ノ宮,丹生,大歩危,遠賀川,出水,肥前浜,宇島,大隅大川原,東光寺,鶴形,今別,村上,,森,,,東室蘭
西大路,大阪方面 西大路,神戸,大阪方面 神戸,東西線経由 神戸,近江今津,,,,,竹島,東西線経由 竹島,四条畷,東西線経由 四条畷,大阪城公園,,法隆寺,,信太山,,尾頭橋,名古屋方面 尾頭橋,横浜,王子保,敦賀方面 王子保,,加斗,能登二宮,,中滑川,下呂,恵那,,安曇沓掛,西阿知,岡山方面 西阿知,黒田庄,竹田,林野,西大寺,姫路方面 西大寺,,,足立,,上夜久野,黒松,,,,,美作滝尾,久美浜,,南四日市,,棚倉,,橋本,,広川ビーチ,和歌山方面 広川ビーチ,詫間,三本松,土佐岩原,海老津,西出水,肥前七浦,三毛門,北永野田,帯織,富根,津軽浜名,間島,,石倉,,,鷲別
京都,大阪方面 京都,兵庫,神戸方面 兵庫,東西線経由 兵庫,,,,,,,,野崎,東西線経由 野崎,京橋,,大和小泉,,和泉府中,,金山,名古屋方面 金山,川崎,武生,敦賀方面 武生,,若狭本郷,徳田,,滑川,禅昌寺,美乃坂本,,信濃常盤,新倉敷,岡山方面 新倉敷,本黒田,,勝間田,大多羅,姫路方面 大多羅,,,新郷,,梁瀬,浅利,,,,,高野,コウノトリの郷,,四日市,,上狛,,紀伊山田,,紀伊由良,和歌山方面 紀伊由良,みの,讃岐白鳥,豊永,教育大前,高尾野,肥前飯田,吉富,霧島神宮,見附,二ツ井,三厩,越後早川,,落部,,,幌別
山科,京都方面 山科,新長田,神戸方面 新長田,東西線経由 新長田,,,,,,,,住道,東西線経由 住道,桜ノ宮,,郡山,,久米田,,熱田,名古屋方面 熱田,品川,鯖江,敦賀方面 鯖江,,若狭和田,七尾,,浜加積,飛騨萩原,中津川,,南大町,金光,岡山方面 金光,船町口,,西勝間田,,,,,上石見,,和田山,江津,,,,,,,,富田浜,,,,高野口,,紀伊内原,和歌山方面 紀伊内原,高瀬,引田,大田口,赤間,野田郷,多良,中津,国分,押切,前山,,桑川,,野田生,,,富浦
大津,京都方面 大津,鷹取,神戸方面 鷹取,東西線経由 鷹取,,,,,,,,鴻池新田,東西線経由 鴻池新田,天満,,奈良,,下松,,笠寺,名古屋方面 笠寺,新橋,北鯖江,敦賀方面 北鯖江,,若狭高浜,和倉温泉,,早月加積,上呂,落合川,,信濃大町,鴨方,岡山方面 鴨方,久下村,,美作大崎,,,,,生山,,養父,都野津,,,,,,,,富田,,,,中飯降,,御坊,和歌山方面 御坊,比地大,讃岐相生,土佐穴内,東郷,折口,肥前大浦,東中津,隼人,北長岡,鷹ノ巣,,今川,,山越,,,登別
膳所,京都方面 膳所,須磨海浜公園,神戸方面 須磨海浜公園,東西線経由 須磨海浜公園,,,,,,,,徳庵,東西線経由 徳庵,,,平城山,,東岸和田,,大高,名古屋方面 大高,東京,大土呂,敦賀方面 大土呂,,三松,,,越中中村,飛騨宮田,坂下,,北大町,里庄,岡山方面 里庄,,,東津山,,,,,上菅,,八鹿,敬川,,,,,,,,朝日,,,,妙寺,,道成寺,和歌山方面 道成寺,本山,阿波大宮,大杉,東福間,阿久根,小長井,今津,加治木,長岡,糠沢,,越後寒川,,八雲,,,虎杖浜
石山,京都方面 石山,須磨,神戸方面 須磨,東西線経由 須磨,,,,,,,,放出,東西線経由 放出,,,木津,,東貝塚,,南大高,名古屋方面 南大高,,越前花堂,敦賀方面 越前花堂,,青郷,,中居,西魚津,飛騨小坂,田立,,信濃木崎,笠岡,岡山方面 笠岡,,,津山,,,,,黒坂,,江原,波子,,,,,,宮村,,桑名,,,,大谷,,和佐,和歌山方面 和佐,観音寺,板野,土佐北川,福間,牛ノ浜,長里,天津,錦江,宮内,早口,,勝木,,山崎,,,竹浦
瀬田,京都方面 瀬田,塩屋,神戸方面 塩屋,東西線経由 塩屋,,,,,,,,鴫野,東西線経由 鴫野,,,加茂,,和泉橋本,,共和,名古屋方面 共和,,福井,敦賀方面 福井,,松尾寺,,比良,電鉄魚津,渚,南木曽,,稲尾,大門,岡山方面 大門,,,院庄,,,,,根雨,,国府,久代,,,,,,喜多,,長島,,,,笠田,,稲原,和歌山方面 稲原,豊浜,阿波川端,角茂谷,千鳥,薩摩大川,湯江,豊前善光寺,帖佐,前川,下川沿,,府屋,,黒岩,,,北吉原
南草津,京都方面 南草津,垂水,神戸方面 垂水,東西線経由 垂水,,,,,,,,,,,,,,東佐野,,大府,名古屋方面 大府,,森田,福井方面 森田,,,,鹿波,新魚津,久々野,十二兼,,海ノ口,東福山,岡山方面 東福山,,,美作千代,,,,,武庫,,豊岡,下府,,,,,,辛皮,,弥富,,,,西笠田,,印南,和歌山方面 印南,箕浦,板東,繁藤,古賀,西方,小江,柳ヶ浦,姶良,来迎寺,大館,,鼠ヶ関,,国縫,,,萩野
草津,京都方面 草津,舞子,神戸方面 舞子,東西線経由 舞子,,,,,,,,,,,,,,熊取,,逢妻,名古屋方面 逢妻,,春江,福井方面 春江,,,,甲,経田,飛騨一ノ宮,野尻,,簗場,福山,岡山方面 福山,,,坪井,,,,,江尾,,玄武洞,浜田,,,,,,大江山口内宮,,永和,,,,名手,,切目,和歌山方面 切目,川之江,池谷,新改,ししぶ,薩摩高城,肥前長田,豊前長洲,重富,越後岩塚,白沢,,小岩川,,中ノ沢,,,白老
栗東,京都方面 栗東,朝霧,神戸方面 朝霧,東西線経由 朝霧,,,,,,,,,,,,,,日根野,,刈谷,名古屋方面 刈谷,,丸岡,福井方面 丸岡,,,,沖波,電鉄石田,高山,大桑,,南神城,備後赤坂,岡山方面 備後赤坂,,,美作追分,,,,,伯耆溝口,,城崎温泉,西浜田,,,,,,二俣,,蟹江,,,,粉河,,岩代,和歌山方面 岩代,伊予三島,勝瑞,土佐山田,新宮中央,草道,東諫早,宇佐,竜ヶ水,塚山,陣場,,あつみ温泉,,長万部,,,社台
守山,京都方面 守山,明石,神戸方面 明石,東西線経由 明石,,,,,,,,,,,,,,長滝,,野田新町,名古屋方面 野田新町,,芦原温泉,福井方面 芦原温泉,,,,前波,電鉄黒部,上枝,須原,,神城,松永,岡山方面 松永,,,美作落合,,,,,岸本,,竹野,周布,,,,,,大江高校前,,春田,,,,紀伊長田,,南部,和歌山方面 南部,伊予寒川,吉成,山田西町,福工大前,上川内,諫早,西屋敷,,長鳥,津軽湯の沢,,五十川,,二股,,,錦岡
野洲,京都方面 野洲,西明石,神戸方面 西明石,東西線経由 西明石,,,,,,,,,,,,,,新家,,東刈谷,名古屋方面 東刈谷,,細呂木,福井方面 細呂木,,,,古君,東三日市,飛騨国府,倉本,,飯森,東尾道,岡山方面 東尾道,,,古見,,,,,,,佐津,折居,,,,,,大江,,八田,,,,打田,,芳養,和歌山方面 芳養,赤星,佐古,土佐長岡,九産大前,隈之城,西諫早,立石,,越後広田,碇ヶ関,,小波渡,,黒松内,,,糸井
篠原,京都方面 篠原,大久保,神戸方面 大久保,東西線経由 大久保,,,,,,,,,,,,,,和泉砂川,,三河安城,名古屋方面 三河安城,,牛ノ谷,福井方面 牛ノ谷,,,,鵜川,荻生,飛騨古川,上松,,白馬,尾道,岡山方面 尾道,,,久世,,,,,,,柴山,三保三隅,,,,,,公庄,,,,,,下井阪,,紀伊田辺,和歌山方面 紀伊田辺,伊予土居,徳島,後免,香椎,木場茶屋,喜々津,中山香,,北条,長峰,,三瀬,,熱郛,,,青葉
近江八幡,京都方面 近江八幡,魚住,神戸方面 魚住,東西線経由 魚住,,,,,,,,,,,,,,和泉鳥取,,安城,名古屋方面 安城,,大聖寺,福井方面 大聖寺,,,,七見,長屋,杉崎,木曽福島,,信濃森上,糸崎,岡山方面 糸崎,,,中国勝山,,,,,,,香住,岡見,,,,,,下天津,,,,,,岩出,,紀伊新庄,和歌山方面 紀伊新庄,関川,,土佐大津,千早,串木野,東園,杵築,,安田,大鰐温泉,,羽前水沢,,目名,,,苫小牧
安土,京都方面 安土,土山,神戸方面 土山,東西線経由 土山,,,,,,,,,,,,,,山中渓,,西岡崎,名古屋方面 西岡崎,,加賀温泉,福井方面 加賀温泉,,,,矢波,新黒部,飛騨細江,原野,,白馬大池,三原,岡山方面 三原,,,月田,,,,,,,鎧,鎌手,,,,,,牧,,,,,,船戸,,朝来,和歌山方面 朝来,多喜浜,,布師田,箱崎,神村学園前,大草,大神,,茨目,石川,,羽前大山,,蘭越,,,沼ノ端
能登川,京都方面 能登川,東加古川,神戸方面 東加古川,東西線経由 東加古川,,,,,,,,,,,,,,紀伊,,岡崎,名古屋方面 岡崎,,動橋,福井方面 動橋,,,,波並,舌山,角川,宮ノ越,,千国,本郷,,,,富原,,,,,,,餘部,石見津田,,,,,,荒河かしの木台,,,,,,紀伊小倉,,白浜,和歌山方面 白浜,新居浜,,土佐一宮,吉塚,市来,本川内,日出,,柏崎,弘前,,鶴岡,,昆布,,,
稲枝,京都方面 稲枝,加古川,神戸方面 加古川,東西線経由 加古川,,,,,,,,,,,,,,六十谷,,相見,名古屋方面 相見,,粟津,福井方面 粟津,,,,藤波,若栗,坂上,藪原,,南小谷,河内,,,,刑部,,,,,,,久谷,益田,,,,,,福知山市民病院口,,,,,,布施屋,,紀伊富田,和歌山方面 紀伊富田,中萩,,薊野,博多,湯之元,長与,暘谷,,鯨波,撫牛子,,藤島,,ニセコ,,,
河瀬,京都方面 河瀬,宝殿,神戸方面 宝殿,,,,,,,,,,,,,,,紀伊中ノ島,,幸田,名古屋方面 幸田,,小松,福井方面 小松,,,,宇出津,栃屋,打保,奈良井,,中土,入野,,,,丹治部,,,,,,,浜坂,戸田小浜,,,,,,,,,,,,千旦,,椿,和歌山方面 椿,伊予西条,,高知,竹下,東市来,高田,豊後豊岡,,青海川,川部,,西袋,,比羅夫,,,
南彦根,京都方面 南彦根,曽根,神戸方面 曽根,,,,,,,,,,,,,,,和歌山,,三ヶ根,名古屋方面 三ヶ根,,明峰,福井方面 明峰,,,,羽根,浦山,杉原,木曽平沢,,北小谷,白市,,,,岩山,,,,,,,諸寄,飯浦,,,,,,,,,,,,田井ノ瀬,,紀伊日置,和歌山方面 紀伊日置,石鎚山,,,笹原,伊集院,道ノ尾,亀川,,笠島,北常盤,,余目,,倶知安,,,
彦根,京都方面 彦根,ひめじ別所,神戸方面 ひめじ別所,,,,,,,,,,,,,,,,,三河塩津,名古屋方面 三河塩津,,能美根上,福井方面 能美根上,,,,小浦,下立口,猪谷,贄川,,平岩,西高屋,,,,新見,,,,,,,居組,江崎,,,,,,,,,,,,,,周参見,和歌山方面 周参見,伊予氷見,,,南福岡,薩摩松元,西浦上,別府大学,,米山,浪岡,,北余目,,小沢,,,
米原,京都方面 米原,御着,神戸方面 御着,,,,,,,,,,,,,,,,,蒲郡,名古屋方面 蒲郡,,小舞子,福井方面 小舞子,,,,縄文真脇,下立,楡原,日出塩,,小滝,西条,,,,,,,,,,,東浜,須佐,,,,,,,,,,,,,,見老津,和歌山方面 見老津,伊予小松,,,春日,上伊集院,浦上,別府,,柿崎,大釈迦,,砂越,,銀山,,,
,,東姫路,神戸方面 東姫路,,,,,,,,,,,,,,,,,三河三谷,名古屋方面 三河三谷,,美川,福井方面 美川,,,,九十九湾小木,愛本,笹津,洗馬,,根知,寺家,,,,,,,,,,,岩美,宇田郷,,,,,,,,,,,,,,江住,和歌山方面 江住,玉之江,,,大野城,広木,長崎,東別府,,上下浜,鶴ヶ坂,,東酒田,,然別,,,
