,,,,,,,,,,,,,,環状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,高塚,名古屋方面 高塚,,福岡,金沢方面 福岡,,,,正院,,,,,,西広島,,,,,,,,,,,松崎,長門市,,,,,,,,,,,,,,太地,和歌山方面 太地,浅海,,,肥前旭,,,熊崎,,,,,仁賀保,,星置,,,
,,,,,,,,,,,,,,,,,,,,浜松,名古屋方面 浜松,,西高岡,金沢方面 西高岡,,,,蛸島,,,,,,新井口,,,,,,,,,,,倉吉,黄波戸,,,,,,,,,,,,,,湯川,和歌山方面 湯川,大浦,,,久留米,,,上臼杵,,,,,西目,,稲穂,,,
,,,,,,,,,,,,,,,,,,,,天竜川,,,高岡,金沢方面 高岡,,,,,,,,,,五日市,,,,,,,,,,,下北条,長門古市,,,,,,,,,,,,,,紀伊勝浦,和歌山方面 紀伊勝浦,伊予北条,,,荒木,,,臼杵,,,,,羽後本荘,,手稲,,,
,,,,,,,,,,,,,,,,,,,,豊田町,,,越中大門,金沢方面 越中大門,,,,,稚子塚,,,,,廿日市,,,,,,,,,,,由良,人丸,,,,,,,,,,,,,,紀伊天満,和歌山方面 紀伊天満,柳原,,,西牟田,,,津久見,,,,,羽後岩谷,,稲積公園,,,
,,,,,,,,,,,,,,,,,,,,磐田,,,小杉,金沢方面 小杉,,,,,田添,,,,,宮内串戸,,,,,,,,,,,浦安,伊上,,,,,,,,,,,,,,那智,和歌山方面 那智,粟井,,,羽犬塚,,,日代,,,,,折渡,,発寒,,,
,,,,,,,,,,,,,,,,,,,,御厨,,,呉羽,金沢方面 呉羽,,,,,五百石,,,,,阿品,,,,,,,,,,,八橋,長門粟野,,,,,,,,,,,,,,宇久井,和歌山方面 宇久井,光洋台,,,筑後船小屋,,,浅海井,,,,,羽後亀田,,発寒中央,,,
,,,,,,,,,,,,,,,,,,,,袋井,,,富山,金沢方面 富山,,,,,榎町,,,,,宮島口,,,,,,,,,,,赤碕,阿川,,,,,,,,,,,,,,紀伊佐野,和歌山方面 紀伊佐野,堀江,,,瀬高,,,狩生,,,,,岩城みなと,,琴似,,,
,,,,,,,,,,,,,,,,,,,,愛野,,,東富山,富山方面 東富山,,,,,下段,,,,,前空,,,,,,,,,,,中山口,特牛,,,,,,,,,,,,,,三輪崎,和歌山方面 三輪崎,伊予和気,,,南瀬高,,,海崎,,,,,道川,,桑園,,,
,,,,,,,,,,,,,,,,,,,,掛川,,,水橋,富山方面 水橋,,,,,釜ヶ淵,,,,,大野浦,,,,,,,,,,,下市,滝部,,,,,,,,,,,,,,新宮,和歌山方面 新宮,三津浜,,,渡瀬,,,佐伯,,,,,下浜,,札幌,,,
,,,,,,,,,,,,,,,,,,,,菊川,,,滑川,富山方面 滑川,,,,,沢中山,,,,,玖波,,,,,,,,,,,御来屋,長門二見,,,,,,,,,,,,,,鵜殿,,松山,,,吉野,,,上岡,,,,,桂根,,,,,
,,,,,,,,,,,,,,,,,,,,金谷,,,東滑川,富山方面 東滑川,,,,,岩峅寺,,,,,大竹,,,,,,,,,,,名和,宇賀本郷,,,,,,,,,,,,,,紀伊井田,,,,,銀水,,,直見,,,,,新屋,,,,,
,,,,,,,,,,,,,,,,,,,,島田,,,魚津,富山方面 魚津,,,,,横江,,,,,和木,,,,,,,,,,,大山口,湯玉,,,,,,,,,,,,,,阿田和,,,,,大牟田,,,直川,,,,,羽後牛島,,,,,
,,,,,,,,,,,,,,,,,,,,六合,,,黒部,富山方面 黒部,,,,,千垣,,,,,岩国,,,,,,,,,,,淀江,小串,,,,,,,,,,,,,,紀伊市木,,,,,荒尾,,,重岡,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,藤枝,,,生地,富山方面 生地,,,,,有峰口,,,,,南岩国,,,,,,,,,,,伯耆大山,川棚温泉,,,,,,,,,,,,,,神志山,,,,,南荒尾,,,宗太郎,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,西焼津,,,西入善,富山方面 西入善,,,,,本宮,,,,,藤生,,,,,,,,,,,東山公園,黒井村,,,,,,,,,,,,,,有井,,,,,長洲,,,市棚,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,焼津,,,入善,富山方面 入善,,,,,立山,,,,,通津,,,,,,,,,,,米子,梅ヶ峠,,,,,,,,,,,,,,熊野市,,,,,大野下,,,北川,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,用宗,,,泊,富山方面 泊,,,,,,,,,,由宇,,,,,,,,,,,安来,吉見,,,,,,,,,,,,,,大泊,,,,,玉名,,,日向長井,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,安倍川,,,越中宮崎,富山方面 越中宮崎,,,,,,,,,,神代,,,,,,,,,,,荒島,福江,,,,,,,,,,,,,,波田須,,,,,肥後伊倉,,,北延岡,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,静岡,,,市振,富山方面 市振,,,,,,,,,,大畠,,,,,,,,,,,揖屋,安岡,,,,,,,,,,,,,,新鹿,,,,,木葉,,,延岡,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東静岡,,,親不知,富山方面 親不知,,,,,,,,,,柳井港,,,,,,,,,,,東松江,梶栗郷台地,,,,,,,,,,,,,,二木島,,,,,田原坂,,,南延岡,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,草薙,,,青海,富山方面 青海,,,,,,,,,,柳井,,,,,,,,,,,松江,綾羅木,,,,,,,,,,,,,,賀田,,,,,植木,,,旭ヶ丘,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,清水,,,糸魚川,富山方面 糸魚川,,,,,,,,,,田布施,,,,,,,,,,,乃木,幡生,,,,,,,,,,,,,,三木里,,,,,西里,,,土々呂,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,興津,,,梶屋敷,富山方面 梶屋敷,,,,,,,,,,岩田,,,,,,,,,,,玉造温泉,,,,,,,,,,,,,,,九鬼,,,,,崇城大学前,,,門川,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,由比,,,浦本,富山方面 浦本,,,,,,,,,,島田,,,,,,,,,,,来待,,,,,,,,,,,,,,,大曽根浦,,,,,上熊本,,,日向市,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,蒲原,,,能生,富山方面 能生,,,,,,,,,,光,,,,,,,,,,,宍道,,,,,,,,,,,,,,,尾鷲,,,,,熊本,,,財光寺,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,新蒲原,,,筒石,富山方面 筒石,,,,,,,,,,下松,,,,,,,,,,,荘原,,,,,,,,,,,,,,,相賀,,,,,西熊本,,,南日向,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,富士川,,,名立,富山方面 名立,,,,,,,,,,櫛ヶ浜,,,,,,,,,,,直江,,,,,,,,,,,,,,,船津,,,,,川尻,,,美々津,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,富士,,,有間川,富山方面 有間川,,,,,,,,,,徳山,,,,,,,,,,,出雲市,,,,,,,,,,,,,,,三野瀬,,,,,富合,,,東都農,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,吉原,,,谷浜,富山方面 谷浜,,,,,,,,,,新南陽,,,,,,,,,,,西出雲,,,,,,,,,,,,,,,紀伊長島,,,,,宇土,,,都農,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,東田子の浦,,,直江津,富山方面 直江津,,,,,,,,,,福川,,,,,,,,,,,,,,,,,,,,,,,,,,梅ヶ谷,,,,,松橋,,,川南,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,原,,,,,,,,,,,,,,戸田,,,,,,,,,,,,,,,,,,,,,,,,,,大内山,,,,,小川,,,高鍋,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,片浜,,,,,,,,,,,,,,富海,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢柏崎,,,,,有佐,,,日向新富,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,沼津,,,,,,,,,,,,,,防府,,,,,,,,,,,,,,,,,,,,,,,,,,阿曽,,,,,千丁,,,佐土原,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,三島,,,,,,,,,,,,,,大道,,,,,,,,,,,,,,,,,,,,,,,,,,滝原,,,,,新八代,,,日向住吉,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,函南,,,,,,,,,,,,,,四辻,,,,,,,,,,,,,,,,,,,,,,,,,,三瀬谷,,,,,八代,,,蓮ヶ池,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,熱海,,,,,,,,,,,,,,新山口,,,,,,,,,,,,,,,,,,,,,,,,,,川添,,,,,,,,宮崎神宮,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,嘉川,,,,,,,,,,,,,,,,,,,,,,,,,,栃原,,,,,,,,宮崎,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本由良,,,,,,,,,,,,,,,,,,,,,,,,,,佐奈,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,厚東,,,,,,,,,,,,,,,,,,,,,,,,,,相可,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宇部,,,,,,,,,,,,,,,,,,,,,,,,,,多気,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小野田,,,,,,,,,,,,,,,,,,,,,,,,,,徳和,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,厚狭,,,,,,,,,,,,,,,,,,,,,,,,,,松阪,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,埴生,,,,,,,,,,,,,,,,,,,,,,,,,,六軒,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小月,,,,,,,,,,,,,,,,,,,,,,,,,,高茶屋,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長府,,,,,,,,,,,,,,,,,,,,,,,,,,阿漕,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新下関,,,,,,,,,,,,,,,,,,,,,,,,,,津,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幡生,,,,,,,,,,,,,,,,,,,,,,,,,,一身田,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下関,,,,,,,,,,,,,,,,,,,,,,,,,,下庄,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
